name,director,company,genre,year,gross
Aspen Extreme,Patrick Hasburgh,Hollywood Pictures,Drama,1993,8041049
Haunted Honeymoon,Gene Wilder,Orion Pictures,Comedy,1986,8033397
Woo,Daisy von Scherler Mayer,Gotham Entertainment Group,Comedy,1998,8026971
The Texas Chainsaw Massacre 2,Tobe Hooper,Cannon Films,Comedy,1986,8025872
The Meteor Man,Robert Townsend,Metro-Goldwyn-Mayer (MGM),Action,1993,8023147
The Chase,Adam Rifkin,Capitol Films,Action,1994,8009329
Machete Kills,Robert Rodriguez,AR Films,Action,2013,8008161
Pirate Radio,Richard Curtis,Universal Pictures,Comedy,2009,7994115
Dazed and Confused,Richard Linklater,Gramercy Pictures (I),Comedy,1993,7993039
My Giant,Michael Lehmann,Castle Rock Entertainment,Comedy,1998,7985929
Punisher: War Zone,Lexi Alexander,Lionsgate,Action,2008,7948159
Unstrung Heroes,Diane Keaton,Hollywood Pictures,Comedy,1995,7929241
A Thousand Acres,Jocelyn Moorhouse,Touchstone Pictures,Drama,1997,7928412
Bushwhacked,Greg Beeman,Twentieth Century Fox Film Corporation,Adventure,1995,7919823
Strange Days,Kathryn Bigelow,Lightstorm Entertainment,Action,1995,7919000
Arbitrage,Nicholas Jarecki,Lionsgate,Drama,2012,7918283
Miracle at St. Anna,Spike Lee,40 Acres & A Mule Filmworks,Action,2008,7916887
Blankman,Mike Binder,Columbia Pictures Corporation,Comedy,1994,7892208
Teen Wolf Too,Christopher Leitch,Atlantic Entertainment Group,Comedy,1987,7888703
Serial Mom,John Waters,Savoy Pictures,Comedy,1994,7881335
The Great White Hype,Reginald Hudlin,Atman Entertainment,Comedy,1996,7874000
City of Ember,Gil Kenan,Playtone,Adventure,2008,7873007
Trumbo,Jay Roach,Bleecker Street Films,Biography,2015,7857741
Fatal Instinct,Carl Reiner,Metro-Goldwyn-Mayer (MGM),Comedy,1993,7852653
The Ice Storm,Ang Lee,Fox Searchlight Pictures,Drama,1997,7837632
Terror a bordo,Phillip Noyce,Kennedy Miller Productions,Horror,1989,7825009
House II: The Second Story,Ethan Wiley,New World Pictures,Comedy,1987,7800000
Vampire Academy,Mark Waters,Angry Films,Action,2014,7791146
The Best of Times,Roger Spottiswoode,Cinema Group Ventures,Comedy,1986,7790931
If Looks Could Kill,William Dear,Warner Bros.,Action,1991,7788597
Criaturas rastreras,James Gunn,Gold Circle Films,Comedy,2006,7774730
Sirenas,John Duigan,British Screen Finance Ltd.,Comedy,1993,7770731
In Bruges,Martin McDonagh,Blueprint Pictures,Comedy,2008,7757130
Enemies: A Love Story,Paul Mazursky,Morgan Creek Productions,Comedy,1989,7754571
Julia  una mujer seductora,István Szabó,Serendipity Point Films,Comedy,2004,7739049
The Cook  the Thief  His Wife & Her Lover,Peter Greenaway,Allarts,Crime,1989,7724701
Disorganized Crime,Jim Kouf,Kouf/Bigelow Productions,Action,1989,7723506
The Collector,Marcus Dunstan,LD Entertainment,Horror,2009,7706394
Mr. & Mrs. Bridge,James Ivory,Cineplex-Odeon Films,Drama,1990,7698010
Loving,Jeff Nichols,Raindog Films,Biography,2016,7696098
La llave de Sarah,Gilles Paquet-Brenner,Hugo Productions,Drama,2010,7691700
Surviving the Game,Ernest R. Dickerson,New Line Cinema,Action,1994,7690013
The Imaginarium of Doctor Parnassus,Terry Gilliam,Infinity Features Entertainment,Adventure,2009,7689607
Strictly Business,Kevin Hooks,Island World,Comedy,1991,7683267
The Order,Brian Helgeland,Twentieth Century Fox Film Corporation,Horror,2003,7659747
Quicksilver,Thomas Michael Donnelly,Columbia Pictures Corporation,Crime,1986,7634909
The Last Temptation of Christ,Martin Scorsese,Universal Pictures,Drama,1988,7630564
Mortdecai,David Koepp,OddLot Entertainment,Action,2015,7605668
Losing Isaiah,Stephen Gyllenhaal,Paramount Pictures,Drama,1995,7603766
Promised Land,Gus Van Sant,Focus Features,Drama,2012,7597898
While We're Young,Noah Baumbach,Scott Rudin Productions,Comedy,2014,7574066
Hackers,Iain Softley,United Artists,Comedy,1995,7564000
Over Her Dead Body,Jeff Lowell,Gold Circle Films,Comedy,2008,7563670
City of God,Fernando Meirelles,O2 Filmes,Crime,2002,7563397
The Jerky Boys,James Melkonian,Caravan Pictures,Comedy,1995,7557877
Wanted: Dead or Alive,Gary Sherman,New World Pictures,Action,1987,7555000
Damage,Louis Malle,Nouvelles Éditions de Films (NEF),Drama,1992,7532911
Proof,John Madden,Miramax,Drama,2005,7524766
Krippendorf's Tribe,Todd Holland,Dreyfuss / James Productions,Comedy,1998,7514883
The Amazing Panda Adventure,Christopher Cain,Lee Rich Productions,Family,1995,7506759
Clean Slate,Mick Jackson,Metro-Goldwyn-Mayer (MGM),Comedy,1994,7503192
La versión de mi vida,Richard J. Lewis,Serendipity Point Films,Comedy,2010,7502560
I Know Who Killed Me,Chris Sivertson,360 Pictures,Mystery,2007,7498716
The Curse of the Jade Scorpion,Woody Allen,DreamWorks,Comedy,2001,7496522
The Man Who Wasn't There,Joel Coen,Good Machine,Crime,2001,7494849
Martian Child,Menno Meyjes,New Line Cinema,Comedy,2007,7486906
Stealing Home,Steven Kampmann,The Mount Company,Drama,1988,7467504
A Good Year,Ridley Scott,Fox 2000 Pictures,Comedy,2006,7458269
Cyrus,Jay Duplass,Scott Free Productions,Comedy,2010,7455447
Taking Woodstock,Ang Lee,Focus Features,Biography,2009,7443007
Disconnect,Henry Alex Rubin,LD Entertainment,Drama,2012,7435950
Harley Davidson and the Marlboro Man,Simon Wincer,Krisjair,Action,1991,7434726
Maximum Overdrive,Stephen King,De Laurentiis Entertainment Group (DEG),Action,1986,7433663
I'll See You in My Dreams,Brett Haley,Two Flints,Comedy,2015,7425963
Kids,Larry Clark,Guys Upstairs,Drama,1995,7417210
Clifford,Paul Flaherty,Morra  Brezner  Steinberg and Tenenbaum Entertainment (MBST),Comedy,1994,7411659
Last of the Dogmen,Tab Murphy,Carolco Pictures,Adventure,1995,7400000
Ironweed,Hector Babenco,Home Box Office (HBO),Drama,1987,7393346
Paranoia,Robert Luketic,Relativity Media,Drama,2013,7376027
It Runs in the Family,Fred Schepisi,Buena Vista International,Comedy,2003,7375836
Witchboard,Kevin Tenney,Paragon Arts International,Horror,1986,7369373
The Squid and the Whale,Noah Baumbach,Samuel Goldwyn Films,Comedy,2005,7362100
The Crucible,Nicholas Hytner,Twentieth Century Fox Film Corporation,Drama,1996,7340103
Alice,Woody Allen,Orion Pictures,Comedy,1990,7331647
Wild America,William Dear,Morgan Creek Productions,Action,1997,7324662
Mississippi Masala,Mira Nair,Black River Productions,Drama,1991,7310000
Bones,Ernest R. Dickerson,New Line Cinema,Crime,2001,7307756
Sarafina!,Darrell Roodt,British Broadcasting Corporation (BBC),Drama,1992,7306242
Who's That Girl,James Foley,Guber-Peters Company  The,Comedy,1987,7305209
Wild Hearts Can't Be Broken,Steve Miner,Walt Disney Pictures,Drama,1991,7300000
Eat Drink Man Woman,Ang Lee,Ang Lee Productions,Comedy,1994,7294403
Outside Providence,Michael Corrente,Miramax,Comedy,1999,7292175
The Forsaken,J.S. Cardone,Screen Gems,Horror,2001,7288451
Lorenzo's Oil,George Miller,Universal Pictures,Drama,1992,7286388
Phantasm II,Don Coscarelli,Spacegate Productions,Action,1988,7282851
Run Lola Run,Tom Tykwer,X-Filme Creative Pool,Crime,1998,7267585
Barcelona,Whit Stillman,Barcelona Films,Comedy,1994,7266973
Searching for Bobby Fischer,Steven Zaillian,Mirage Enterprises,Biography,1993,7266383
Big Trouble,Barry Sonnenfeld,Touchstone Pictures,Comedy,2002,7262288
Friends with Kids,Jennifer Westfeldt,Red Granite Pictures,Comedy,2011,7250054
Off Limits,Christopher Crowe,Twentieth Century Fox Film Corporation,Action,1988,7242035
Rush,Lili Fini Zanuck,Metro-Goldwyn-Mayer (MGM),Action,1991,7241350
B*A*P*S,Robert Townsend,New Line Cinema,Comedy,1997,7240837
Johnny Handsome,Walter Hill,Carolco Pictures,Crime,1989,7237794
Gold,Stephen Gaghan,Black Bear Pictures,Adventure,2016,7222964
Sin embargo es adorable,Nick Cassavetes,Miramax,Drama,1997,7221836
All the King's Men,Steven Zaillian,Columbia Pictures Corporation,Drama,2006,7221458
Mulholland Drive,David Lynch,Les Films Alain Sarde,Drama,2001,7220243
The Big Year,David Frankel,Fox 2000 Pictures,Comedy,2011,7204138
The Green Inferno,Eli Roth,Worldview Entertainment,Adventure,2013,7192291
American Dreamz,Paul Weitz,Universal Pictures,Comedy,2006,7191830
1492: Conquista del Paraíso,Ridley Scott,Gaumont,Adventure,1992,7191399
Zeus and Roxanne,George Miller,Metro-Goldwyn-Mayer (MGM),Adventure,1997,7183046
Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,Laurenfilm,Comedy,1988,7179298
The Boy Who Could Fly,Nick Castle,Lorimar Productions,Drama,1986,7177431
The Orphanage,J.A. Bayona,Esta Vivo! Laboratorio de Nuevos Talentos,Drama,2007,7161284
The Name of the Rose,Jean-Jacques Annaud,Neue Constantin Film,Crime,1986,7153487
North,Rob Reiner,Castle Rock Entertainment,Adventure,1994,7138449
She's Gotta Have It,Spike Lee,40 Acres & A Mule Filmworks,Comedy,1986,7137502
A Separation,Asghar Farhadi,Asghar Farhadi Productions,Drama,2011,7098492
Blackhat,Michael Mann,Forward Pass,Crime,2015,7097125
Before the Devil Knows You're Dead,Sidney Lumet,Capitol Films,Crime,2007,7083025
Silence,Martin Scorsese,Cappa Defina Productions,Adventure,2016,7079191
Quills,Philip Kaufman,Fox Searchlight Pictures,Biography,2000,7060876
Screwed,Scott Alexander,Universal Pictures,Comedy,2000,7027345
Turistas,John Stockwell,Fox Atomic,Horror,2006,7025803
Three Wishes,Martha Coolidge,Rysher Entertainment,Drama,1995,7025496
Kissing Jessica Stein,Charles Herman-Wurmfeld,Fox Searchlight Pictures,Comedy,2001,7022940
Hiding Out,Bob Giraldi,De Laurentiis Entertainment Group (DEG),Comedy,1987,7019441
Star Kid,Manny Coto,JLT Productions,Adventure,1997,7015240
Bug,William Friedkin,Lions Gate Films,Drama,2006,7006708
The Triplets of Belleville,Sylvain Chomet,Les Armateurs,Animation,2003,7002255
Our Brand Is Crisis,David Gordon Green,Participant Media,Comedy,2015,6998324
Fearless,Peter Weir,Spring Creek Productions,Drama,1993,6995302
Relentless,William Lustig,Cinetel Films,Crime,1989,6985999
Children of the Corn II: The Final Sacrifice,David Price,Corn Cobb Productions,Horror,1992,6980986
House Arrest,Harry Winer,Metro-Goldwyn-Mayer (MGM),Comedy,1996,6970578
Shag,Zelda Barron,Palace Pictures,Comedy,1989,6957975
Suburban Commando,Burt Kennedy,New Line Cinema,Action,1991,6948859
Blue City,Michelle Manning,Paramount Pictures,Action,1986,6947787
Sexy Beast,Jonathan Glazer,Recorded Picture Company (RPC),Crime,2000,6946056
BASEketball,David Zucker,Zucker Brothers Productions,Comedy,1998,6940185
Almost an Angel,John Cornell,Ironbark Films,Comedy,1990,6939946
The Wedding Banquet,Ang Lee,Ang Lee Productions,Comedy,1993,6933459
Take Me Home Tonight,Michael Dowse,Rogue Pictures,Comedy,2011,6923891
State and Main,David Mamet,Filmtown Entertainment,Comedy,2000,6920692
A Cry in the Dark,Fred Schepisi,Cannon Entertainment,Drama,1988,6908797
Willard,Glen Morgan,New Line Cinema,Drama,2003,6886089
Presencia siniestra,Farren Blackburn,EuropaCorp,Drama,2016,6883951
Death Wish 4: The Crackdown,J. Lee Thompson,Cannon Group,Action,1987,6880310
Redline,Andy Cheng,Chicago Pictures,Action,2007,6877133
The Brothers Grimsby,Louis Leterrier,Big Talk Productions,Action,2016,6864016
Cedar Rapids,Miguel Arteta,Ad Hominem Enterprises,Comedy,2011,6857503
Incendies,Denis Villeneuve,micro_scope,Drama,2010,6857096
Running Scared,Wayne Kramer,New Line Cinema,Action,2006,6855137
The Spectacular Now,James Ponsoldt,Andrew Lauren Productions (ALP),Comedy,2013,6851969
200 Cigarettes,Risa Bramon Garcia,Dogstar Films,Comedy,1999,6851636
Never Talk to Strangers,Peter Hall,TriStar Pictures,Crime,1995,6849998
The Collection,Marcus Dunstan,LD Entertainment,Horror,2012,6842058
Exit to Eden,Garry Marshall,Savoy Pictures,Comedy,1994,6841570
Moonlight Mile,Brad Silberling,Touchstone Pictures,Drama,2002,6835856
Panther,Mario Van Peebles,Gramercy Pictures (I),Drama,1995,6834525
The Chipmunk Adventure,Janice Karman,Bagdasarian Productions,Animation,1987,6804312
Mixed Nuts,Nora Ephron,TriStar Pictures,Comedy,1994,6798240
Trick or Treat,Charles Martin Smith,De Laurentiis Entertainment Group (DEG),Comedy,1986,6797218
Conviction,Tony Goldwyn,Omega Entertainment,Biography,2010,6783129
In the Valley of Elah,Paul Haggis,Warner Independent Pictures (WIP),Crime,2007,6777741
Thunderbirds,Jonathan Frakes,Working Title Films,Action,2004,6768055
Ladies in Lavender,Charles Dance,UK Film Council,Drama,2004,6759422
Running with Scissors,Ryan Murphy,Plan B Entertainment,Comedy,2006,6754898
Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,Indian Paintbrush,Comedy,2015,6743776
The Mambo Kings,Arne Glimcher,Alcor Films,Drama,1992,6742168
Amour,Michael Haneke,Les Films du Losange,Drama,2012,6739492
Fortress,Stuart Gordon,Davis Entertainment,Action,1992,6739141
Baahubali: The Beginning,S.S. Rajamouli,Arka Mediaworks,Action,2015,6738000
9½ Weeks,Adrian Lyne,Producers Sales Organization (PSO),Drama,1986,6734844
Town & Country,Peter Chelsom,New Line Cinema,Comedy,2001,6719973
American History X,Tony Kaye,New Line Cinema,Crime,1998,6719864
Smoke Signals,Chris Eyre,ShadowCatcher Entertainment,Comedy,1998,6719300
Mighty Aphrodite,Woody Allen,Sweetland Films,Comedy,1995,6700000
Delta Force 2: The Colombian Connection,Aaron Norris,Cannon Films,Action,1990,6698361
Hairspray,John Waters,New Line Cinema,Comedy,1988,6671108
City Island,Raymond De Felitta,CineSon Entertainment,Comedy,2009,6670712
Fresh Horses,David Anspaugh,Weintraub Entertainment Group,Drama,1988,6640346
Black Moon Rising,Harley Cokeliss,New World Pictures,Action,1986,6637565
Camino sin retorno,Oliver Stone,Phoenix Pictures,Crime,1997,6633400
Seeking a Friend for the End of the World,Lorene Scafaria,Focus Features,Adventure,2012,6619173
The Last Station,Michael Hoffman,Egoli Tossell Film,Biography,2009,6616974
The Savages,Tamara Jenkins,Fox Searchlight Pictures,Comedy,2007,6610326
The Hunted,J.F. Lawton,Universal Pictures,Action,1995,6607652
Best of the Best II,Robert Radler,Movie Group  The,Action,1993,6607218
Bride & Prejudice,Gurinder Chadha,Pathé Pictures International,Comedy,2004,6601079
The Grandmaster,Kar-Wai Wong,Block 2 Pictures,Action,2013,6594959
Mujer fatal,Brian De Palma,Quinta Communications,Crime,2002,6592103
Millions,Danny Boyle,Pathé Pictures International,Comedy,2004,6583149
Once Upon a Forest,Charles Grosvenor,Hanna-Barbera Productions,Animation,1993,6574896
Curse of the Golden Flower,Yimou Zhang,Beijing New Picture Film Co.,Action,2006,6566773
Strange Wilderness,Fred Wolf,Pelican Productions LLC (I),Adventure,2008,6563357
Lost & Found,Jeff Pollack,Alcon Entertainment,Comedy,1999,6545360
I Dreamed of Africa,Hugh Hudson,Columbia Pictures Corporation,Adventure,2000,6543194
3 Idiots,Rajkumar Hirani,Vinod Chopra Productions,Adventure,2009,6532908
The Rules of Attraction,Roger Avary,Kingsgate Films,Comedy,2002,6532619
Winter's Bone,Debra Granik,Anonymous Content,Drama,2010,6531503
Maria Full of Grace,Joshua Marston,HBO Films,Crime,2004,6517198
The Road to Wellville,Alan Parker,Beacon Communications,Comedy,1994,6507514
Flashback,Franco Amurri,60/80 Productions,Action,1990,6488144
Switchback,Jeb Stuart,Pacific Western,Crime,1997,6482195
The Real McCoy,Russell Mulcahy,Bregman/Baer Productions,Crime,1993,6473326
The Big Bounce,George Armitage,Shangri-La Entertainment,Comedy,2004,6471394
Warriors of Virtue,Ronny Yu,China Film Co-Production Corporation,Action,1997,6448817
Hot to Trot,Michael Dinner,Warner Bros.,Comedy,1988,6436211
Mac and Me,Stewart Raffill,Mac and Me Joint Venture,Adventure,1988,6424112
El gran pequeño,Alejandro Monteverde,Metanoia Films,Drama,2015,6420319
The Temp,Tom Holland,Columbus Circle Films,Drama,1993,6419876
Brideshead Revisited,Julian Jarrold,Ecosse Films,Drama,2008,6414563
Defenseless,Martin Campbell,Carolco Pictures,Mystery,1991,6413375
Six Degrees of Separation,Fred Schepisi,Metro-Goldwyn-Mayer (MGM),Comedy,1993,6410676
The Rocker,Peter Cattaneo,Fox Atomic,Comedy,2008,6409528
Just Between Friends,Allan Burns,MTM Enterprises,Drama,1986,6408791
My Own Private Idaho,Gus Van Sant,New Line Cinema,Drama,1991,6401336
Gods and Monsters,Bill Condon,Lions Gate Films,Biography,1998,6390032
Article 99,Howard Deutch,Orion Pictures,Drama,1992,6375979
Hyde Park on Hudson,Roger Michell,Daybreak Pictures,Biography,2012,6367780
Shirley Valentine,Lewis Gilbert,Paramount Pictures,Comedy,1989,6353913
It's Kind of a Funny Story,Anna Boden,Focus Features,Comedy,2010,6350058
The Unholy,Camilo Vila,Vestron Pictures,Horror,1988,6337299
Most Wanted,David Hogan,Ivory Way Productions,Action,1997,6320276
Beyond the Sea,Kevin Spacey,Lions Gate Films,Biography,2004,6318709
Regresiones de un hombre muerto,John Maybury,Mandalay Pictures,Drama,2005,6303762
Affliction,Paul Schrader,JVC Entertainment Networks,Drama,1997,6302154
What Planet Are You From?,Mike Nichols,Brillstein-Grey Entertainment,Comedy,2000,6291602
The Gods Must Be Crazy II,Jamie Uys,Elrina Investment,Comedy,1989,6291444
One Night at McCool's,Harald Zwart,October Films,Comedy,2001,6290673
Ed,Bill Couturié,Longview Entertainment,Comedy,1996,6288000
Rambling Rose,Martha Coolidge,Carolco Pictures,Drama,1991,6266621
La casa de los espíritus,Bille August,Costa do Castelo Filmes,Drama,1993,6265311
A Night in the Life of Jimmy Reardon,William Richert,Island Pictures,Comedy,1988,6264058
Music Box,Costa-Gavras,Carolco Pictures,Crime,1989,6263883
All Is Lost,J.C. Chandor,Before The Door Pictures,Action,2013,6263670
Dick,Andrew Fleming,Canal+ Droits Audiovisuels,Comedy,1999,6241697
Ghost World,Terry Zwigoff,United Artists,Comedy,2001,6217849
The Straight Story,David Lynch,Asymmetrical Productions,Biography,1999,6203044
Night and the City,Irwin Winkler,Penta Films,Comedy,1992,6202756
Topsy-Turvy,Mike Leigh,Goldwyn Films,Biography,1999,6201757
La jugada,Mike Hodges,Arte,Crime,1998,6198916
Braddock: Missing in Action III,Aaron Norris,Cannon Group  The,Action,1988,6193901
Tell No One,Guillaume Canet,Les Productions du Trésor,Crime,2006,6177192
En algún lugar de África,Caroline Link,Bavaria Film,Biography,2001,6173485
A Very Long Engagement,Jean-Pierre Jeunet,2003 Productions,Drama,2004,6167817
Mystery Date,Jonathan Wacks,Orion Pictures,Comedy,1991,6166819
Cerca de la libertad,Phillip Noyce,Rumbalara Films,Adventure,2002,6165429
UHF,Jay Levey,Cinecorp SAC,Comedy,1989,6157157
Lowriders,Ricardo de Montreuil,Blumhouse Productions,Adventure,2016,6155650
Barton Fink,Joel Coen,Circle Films,Comedy,1991,6153939
Maudie,Aisling Walsh,H Is 4 Productions,Biography,2016,6139048
The Last Seduction,John Dahl,Incorporated Television Company (ITC),Crime,1994,6138485
Folks!,Ted Kotcheff,Penta Pictures,Comedy,1992,6132924
Chasing Papi,Linda Mendoza,Fox 2000 Pictures,Comedy,2003,6126237
Almost Heroes,Christopher Guest,Turner Pictures (I),Adventure,1998,6114928
Impostor,Gary Fleder,Dimension Films,Drama,2001,6114237
Short Cuts,Robert Altman,Fine Line Features,Comedy,1993,6110979
Coco Before Chanel,Anne Fontaine,Haut et Court,Biography,2009,6109075
The Interview,Evan Goldberg,Columbia Pictures,Comedy,2014,6105175
The Secret of Roan Inish,John Sayles,Jones Entertainment Group,Drama,1994,6101600
Grandma's Boy,Nicholaus Goossen,Twentieth Century Fox Film Corporation,Comedy,2006,6088249
Kull the Conqueror,John Nicolella,Universal Pictures,Fantasy,1997,6086891
Assassination,Peter R. Hunt,Golan-Globus Productions,Action,1987,6075793
Men Don't Leave,Paul Brickman,Geffen Company  The,Drama,1990,6070725
Gigli,Martin Brest,Revolution Studios,Comedy,2003,6068735
The Way of the Gun,Christopher McQuarrie,Artisan Entertainment,Action,2000,6055661
Deuces Wild,Scott Kalvert,CineWild,Action,2002,6044618
A Fine Mess,Blake Edwards,Blake Edwards,Action,1986,6029824
Gold Diggers: The Secret of Bear Mountain,Kevin James Dobson,Universal Pictures,Adventure,1995,6029091
The Walking Dead,Preston A. Whitmore II,Savoy Pictures,Drama,1995,6014340
Hitchcock,Sacha Gervasi,Fox Searchlight Pictures,Biography,2012,6008677
American Splendor,Shari Springer Berman,Good Machine,Biography,2003,6003587
Chasing Mavericks,Michael Apted,Fox 2000 Pictures,Biography,2012,6002756
The Sessions,Ben Lewin,Fox Searchlight Pictures,Biography,2012,6002451
Run  Fatboy  Run,David Schwimmer,Beech Hill Films,Comedy,2007,5998971
The Diving Bell and the Butterfly,Julian Schnabel,Pathé Renn Productions,Biography,2007,5990075
El penthouse,Erik Van Looy,Open Road Films,Mystery,2014,5981749
1969,Ernest Thompson,Atlantic Entertainment Group,Drama,1988,5979011
Lars and the Real Girl,Craig Gillespie,Metro-Goldwyn-Mayer (MGM),Comedy,2007,5972884
Belle Epoque,Fernando Trueba,Animatógrafo,Comedy,1992,5971369
Basic Instinct 2,Michael Caton-Jones,Metro-Goldwyn-Mayer (MGM),Drama,2006,5971336
My Little Pony: The Movie,Mike Joens,Sunbow Productions,Animation,1986,5958456
Inventing the Abbotts,Pat O'Connor,Fox 2000 Pictures,Drama,1997,5936344
Immediate Family,Jonathan Kaplan,Columbia Pictures Corporation,Drama,1989,5932613
The Last Legion,Doug Lefler,Dino De Laurentiis Company,Action,2007,5932060
Evil Dead II,Sam Raimi,De Laurentiis Entertainment Group (DEG),Comedy,1987,5923044
Highlander,Russell Mulcahy,Thorn EMI Screen Entertainment,Action,1986,5900000
Cry Freedom,Richard Attenborough,Universal Pictures,Biography,1987,5899797
Casa de mi Padre,Matt Piedmont,NALA Films,Comedy,2012,5895238
Ed Wood,Tim Burton,Touchstone Pictures,Biography,1994,5887457
The Opposite of Sex,Don Roos,Rysher Entertainment,Comedy,1998,5881367
Captain Fantastic,Matt Ross,Electric City Entertainment,Comedy,2016,5875006
El cielo y la tierra,Oliver Stone,Alcor Films,Action,1993,5864949
Last Dance,Bruce Beresford,Touchstone Pictures,Drama,1996,5858000
The Rescue,Ferdinand Fairfax,Silver Screen Partners III,Action,1988,5855392
The Transformers: The Movie,Nelson Shin,Sunbow Productions,Animation,1986,5849647
Real Women Have Curves,Patricia Cardoso,HBO Films,Comedy,2002,5844929
The Hitcher,Robert Harmon,HBO Films,Thriller,1986,5844868
The Bling Ring,Sofia Coppola,American Zoetrope,Biography,2013,5841046
El secreto,Volker Schlöndorff,Castle Rock Entertainment,Crime,1998,5840581
Crossroads,Walter Hill,Columbia Pictures Corporation,Drama,1986,5839031
Night of the Living Dead,Tom Savini,21st Century Film Corporation,Horror,1990,5835247
Stanley & Iris,Martin Ritt,Metro-Goldwyn-Mayer (MGM),Drama,1990,5820015
The Boxer,Jim Sheridan,Universal Pictures,Drama,1997,5799672
Mona Lisa,Neil Jordan,HandMade Films,Crime,1986,5794184
Before Sunset,Richard Linklater,Warner Independent Pictures (WIP),Drama,2004,5792822
Lutero,Eric Till,Eikon Film,Biography,2003,5791328
Beginners,Mike Mills,Olympus Pictures,Comedy,2010,5790894
Gang Related,Jim Kouf,Orion Pictures,Action,1997,5790448
Asesinos cibernéticos,Christian Duguay,Triumph Films,Sci-Fi,1995,5781885
Trapped in Paradise,George Gallo,Permut Presentations,Adventure,1994,5777916
Millennium,Michael Anderson,First Millenium Partnership,Drama,1989,5777099
Victor Frankenstein,Paul McGuigan,Davis Entertainment,Drama,2015,5775076
Leatherface: Texas Chainsaw Massacre III,Jeff Burr,Nicolas Entertainment,Horror,1990,5765562
The Clearing,Pieter Jan Brugge,Fox Searchlight Pictures,Drama,2004,5763875
Lucky You,Curtis Hanson,Warner Bros.,Drama,2007,5755286
Beyond Rangoon,John Boorman,Castle Rock Entertainment,Action,1995,5750110
A Most Violent Year,J.C. Chandor,Before The Door Pictures,Crime,2014,5740310
The Station Agent,Tom McCarthy,SenArt Films,Comedy,2003,5739376
Indochine,Régis Wargnier,Paradis Films,Drama,1992,5734232
Hardware,Richard Stanley,Palace Pictures,Sci-Fi,1990,5728953
One Eight Seven,Kevin Reynolds,Icon Entertainment International,Drama,1997,5716080
Wisdom,Emilio Estevez,Gladden Entertainment,Crime,1987,5715174
Surrender,Jerry Belson,Cannon Group,Comedy,1987,5711976
El crimen del padre Amaro,Carlos Carrera,Alameda Films,Drama,2002,5709616
A Dangerous Method,David Cronenberg,Recorded Picture Company (RPC),Biography,2011,5702083
Mongol: The Rise of Genghis Khan,Sergei Bodrov,CTB Film Company,Adventure,2007,5701643
RocknRolla,Guy Ritchie,Warner Bros.,Action,2008,5694401
Eight Men Out,John Sayles,Orion Pictures,Drama,1988,5680515
Nadine,Robert Benton,TriStar Pictures,Comedy,1987,5669831
The Warrior's Way,Sngmoo Lee,Rogue,Action,2010,5664251
20th Century Women,Mike Mills,A24,Comedy,2016,5663855
El asalto,Marek Kanievska,Gramercy Pictures (I),Drama,2000,5658940
Phantoms,Joe Chappelle,Miramax,Horror,1998,5657370
Swing Kids,Thomas Carter,Hollywood Pictures,Drama,1993,5632086
Batman: Mask of the Phantasm,Eric Radomski,Warner Bros. Animation,Animation,1993,5617391
The Pallbearer,Matt Reeves,Miramax,Comedy,1996,5612586
Mary Reilly,Stephen Frears,NFH Productions,Drama,1996,5600000
Elvira: Mistress of the Dark,James Signorelli,NBC Productions,Comedy,1988,5596267
Central Station,Walter Salles,Audiovisual Development Bureau  Ministerio da Cultura,Drama,1998,5595428
Bordello of Blood,Gilbert Adler,Universal City Studios,Comedy,1996,5587855
Loose Cannons,Bob Clark,TriStar Pictures,Action,1990,5585154
Europa Europa,Agnieszka Holland,Central Cinema Company Film (CCC),Drama,1990,5575738
Dream a Little Dream,Marc Rocco,Lightning Pictures,Comedy,1989,5552441
Delirious,Tom Mankiewicz,Metro-Goldwyn-Mayer (MGM),Comedy,1991,5546827
Before Sunrise,Richard Linklater,Castle Rock Entertainment,Drama,1995,5535405
Kundun,Martin Scorsese,De Fina-Cappa,Biography,1997,5532301
Wind,Carroll Ballard,American Zoetrope,Action,1992,5519569
Say It Isn't So,J.B. Rogers,Twentieth Century Fox Film Corporation,Comedy,2001,5516708
Heartbreak Hotel,Chris Columbus,Silver Screen Partners III,Comedy,1988,5509417
Downfall,Oliver Hirschbiegel,Constantin Film,Biography,2004,5509040
A Scanner Darkly,Richard Linklater,Warner Independent Pictures (WIP),Animation,2006,5501616
Three of Hearts,Yurek Bogayevicz,New Line Cinema,Comedy,1993,5495507
Rescue Dawn,Werner Herzog,Metro-Goldwyn-Mayer (MGM),Adventure,2006,5490423
The Counterfeiters,Stefan Ruzowitzky,Magnolia Filmproduktion,Crime,2007,5484715
Slums of Beverly Hills,Tamara Jenkins,Fox Searchlight Pictures,Comedy,1998,5480318
Gridlock'd,Vondie Curtis-Hall,Def Pictures,Comedy,1997,5479037
Ride,Millicent Shelton,Dimension Films,Comedy,1998,5476059
Livin' Large!,Michael Schultz,WMG Pictures,Comedy,1991,5467959
Little Children,Todd Field,New Line Cinema,Drama,2006,5463019
Eve of Destruction,Duncan Gibbins,Nelson Entertainment,Action,1991,5451119
Troll,John Carl Buechler,Empire Pictures,Comedy,1986,5450815
